spotify_id,track_name,artist_name,lastfm_listeners,lastfm_playcount,duration_ms,tags
13toFl1UwJPsRxDiD9jgtn,As,Stevie Wonder,392572,2234042,428000,"soul,motown,70s,funk,Stevie Wonder"
0N4oKW9st8vwSEQi9Y3vHn,"Community (with Clipse, Pusha T & Malice)",JID,105425,654534,265000,"rap,Hip-Hop,trap,hip hop,rnb"
7iCs98iS5n6KCI4q3H7zp9,Tell Him,Ms. Lauryn Hill,252157,1642276,280000,"soul,rnb,Neo-Soul,hip hop,Hip-Hop"
5SusLOd5pOU6akwkkODXf5,Envy,Ogi,24754,118933,247000,"rap,hip hop,Rap Nacional,brazilian,brazil"
7jXHMDFD5IP6pOUtC1p3iz,Bodies (feat. JID),Offset,53697,218053,0,"trap,rap,Hip-Hop,travis scott,hip hop"
1lgy5Mb6QKx47vJXmmwIri,Galaxy,JID,227172,1561714,52000,"rap,Hip-Hop,trap,hip hop,rnb"
1tv0QvEP9fMSEa4haXlxE5,Guh Dung,Ayetian,443,2763,0,dancehall
48149QjyTErUN2NZnNG248,Wholeheartedly (with Ty Dolla $ign & 6LACK),JID,80438,459042,225000,"rap,Hip-Hop,trap,hip hop,rnb"
2Bc4XnUlkgPvwvfwsCbgcD,Footprints,T.O.K,44057,136264,212000,"dancehall,reggae,ragga,rap,Bashment"
6SkGfPa77E4giShVbk9N6R,Soon as I Get Home,Faith Evans,173493,755268,324000,"rnb,soul,female vocalists,Hip-Hop,pop"
34JL3n6rUwQbuDCYl43ozx,Home,Brent Faiyaz,85318,482261,111000,"rnb,soul,electronic,alternative rnb,american"
4mxj6SQ7BxfQ90CBTbxcwH,The Wizard And I,Cynthia Erivo,227266,2450859,336000,"Soundtrack,musical,buwygfibsara,Broadway"
4lI7x7ZpbDJT53u0CCbL58,Glory,JID,122761,662192,239000,"hip hop,Southern Hip Hop,trap,hardcore hip hop,Conscious Hip Hop"
6ZGoFntcQUWTPGGQPQmecY,Kody Blu 31,JID,304923,4308550,224000,"soul,hip hop,Neo-Soul,jazz rap,Southern Hip Hop"
7wNAM0qzErN5Dr9uV6B3fW,Only If,Steve Lacy,472335,4775839,89000,"soul,rnb,Neo Soul,male vocalists,Dope"
4kgBKSVyDGTIpqnglasnKW,A Cappella,Daniel Caesar,139353,1081708,88000,"rnb,soul,Neo-Soul,Canadian,alternative rnb"
1j9033Qmddn2YvOT2owNwE,Top Notch,BossMan Dlow,3968,20916,153000,"rap,florida,trap,hip hop,Hip-Hop"
4GCGH6TJ69neckwITeBFXK,Earth Song,Michael Jackson,615370,3660225,407000,"pop,michael jackson,90s,king of pop,male vocalists"
4OQq1bcP12GQQXJNupxqfR,again,YUI,312730,3854439,255000,"j-pop,anime,japanese,YUI,full metal alchemist"
5QMrH5nszZZR3nefIj6Mar,Defying Gravity,Cynthia Erivo,423479,4740791,459000,"musical,Soundtrack,Broadway,buwygfibsara,Wicked"
1GClDyMiSLrpzjzwIfWRIa,Take A Bite,beabadoobee,684415,10479686,159000,"post-Britpop,indie pop,I will,british,Olivias vagina"
0GGfGINoVYiSFXPOjg3RHj,Found (feat. Brent Faiyaz),Tems,267240,2599672,209000,"rnb,soul,nigeria,afrobeats,pop"
7qUBGRnOfmAaaCC5ZAqPCG,Circles,Mariah Carey,109942,1190970,210000,"pop,rnb,female vocalists,soul,Mariah Carey"
2br377aSsnmO1ygH7eS6wJ,You Are My Joy (Interlude),Faith Evans,12329,65093,68000,"rnb,soul,female vocalists,Hip-Hop,pop"
5dlfvkyZOuBCFP1KbzRHUx,Orange Moon,Erykah Badu,258948,1317028,430000,"soul,Neo-Soul,female vocalists,rnb,jazz"
0bHer4P44xn8jcyMH0EMs8,Neu Roses (Transgressor's Song),Daniel Caesar,258428,2447544,160000,"rnb,canada,Daniel caesar"
2eYc2MLvTp8u00FepRhflw,JUMP (BOUNCE),Armanii,2983,18792,0,"jamaica,dancehall"
0b83L1ToHRiwlpmUAjiCHc,Valentina,Daniel Caesar,488593,5666132,155000,"rnb,soul,Neo-Soul,Canadian,alternative rnb"
3uFweCfk2Tk4fZzmTMzbRe,Sistanem,JID,195492,2046933,369000,"rap,Hip-Hop,trap,hip hop,rnb"
0HMMmXVEAoQyS3BbjKi6tF,SATISFACTION,SiR,91019,495205,130000,"rnb,soul,Neo-Soul,contemporary rnb,tde"
4NaIl2XLSgc5AoFIZm1NIU,Poxa,Cortex,210804,1020501,195000,"post-punk,jazz,french,funk,swedish"
63ROeOYxcKEj91IgZf0UEb,Souvenir,Mereba,11620,66428,0,"rnb,soul,pop,folk,Hip-Hop"
2mzM4Y0Rnx2BDZqRnhQ5Q6,Free Mind,Tems,194202,1781628,247000,"rnb,soul,nigeria,afrobeats,pop"
01gj9t5gqjQrAiqixfUXdS,Killa,Young Pappy,41299,448180,203000,"drill,Hip-Hop,rap,chicago,Gangsta Rap"
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",1974880,37132058,190000,"Neo-Soul,alternative rnb,experimental hip hop,Psychedelic Soul,synth funk"
0bxmVPKnEopTyuMMkaTvUb,Issues/Hold On,Teyana Taylor,194439,1493219,185000,"rnb,Hip-Hop,pop,female vocalists,hip hop"
0J119Oas2ox6JTTHUGZxHN,Give You the World,Steve Lacy,498620,5478977,264000,"Psychedelic Soul,Love,rnb,chill,bedroom pop"
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),JID,848316,12383562,229000,"trap,Southern Hip Hop,chipmunk soul,21 savage,hip hop"
3ESYwKT2ZCbrsv1j3gWsZk,Sk8 (with Ciara & EARTHGANG),JID,93061,599657,190000,"rap,Hip-Hop,trap,hip hop,rnb"
6cZrsaNb4Zo9E5KHk7gcz5,Who's Lovin' You,The Jackson 5,243790,1197807,240000,"soul,motown,pop,funk,70s"
0KQx6HOpJueiSkztcS0r7D,Fallin',Alicia Keys,1009988,5680148,210000,"soul,rnb,female vocalists,piano,pop"
14Q7Qja4PJwjMsKdBZcnww,Sunshine (feat. Fousheé),Steve Lacy,552821,6927565,293000,"Neo-Soul,Neo Soul,bedroom pop,foushee,soul"
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,2003,4543,0,"rnb,Neo-Soul,For our kids,soul,Love"
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,Kendrick Lamar,1718546,30973804,275000,"Conscious Hip Hop,Neo-Soul,rap,west coast hip hop,hip hop"
2FNPJWVdGxYhWaotd6rULS,Sandcastles,Beyoncé,291992,2658073,183000,"rnb,pop,female vocalists,soul,Hip-Hop"
23luOrEVHMfoX0AhfbQuS6,FEAR.,Kendrick Lamar,709424,6891374,460000,"Conscious Hip Hop,west coast hip hop,hip hop,Hip-Hop,kendrick lamar"
26PwuMotZqcczKLHi4Htz3,Redemption Song,Bob Marley & The Wailers,746656,3938296,228000,"reggae,roots reggae,ska,roots,classic rock"
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,1152075,19268312,0,"alternative rnb,pop rap,rnb,2017,trap"
3QQvSQKV8YmQxGolwwWe59,CATFISH,Doechii,619518,5083613,164000,"boom bap,Southern Hip Hop,hardcore hip hop,rap,hip hop"
6iFDEchx7A9uPI7n6yBSN8,Apollo Eighteen,Khamari,37158,170958,251000,"boston,rnb,pop,soul,USA"
